model_name,package_name,module_path,model_kind
AssayDependency,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AssayDesignComparisonEntry,bijux-proteomics-core,bijux_proteomics/lab/planning.py,jsonmodel
AssayDesignComparisonReport,bijux-proteomics-core,bijux_proteomics/lab/planning.py,jsonmodel
AssayDesignProfile,bijux-proteomics-core,bijux_proteomics/lab/planning.py,jsonmodel
AssayExecutionBurden,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AssayExpectedEvidenceGainEntry,bijux-proteomics-core,bijux_proteomics/lab/operations.py,jsonmodel
AssayExpectedEvidenceGainInput,bijux-proteomics-core,bijux_proteomics/lab/operations.py,jsonmodel
AssayExpectedEvidenceGainReport,bijux-proteomics-core,bijux_proteomics/lab/operations.py,jsonmodel
AssayFailureTriage,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
AssayFamily,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,strenum
AssayIntent,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AssayLifecycleDecision,bijux-proteomics-lab,bijux_proteomics_lab/lifecycle.py,jsonmodel
AssayLifecycleStage,bijux-proteomics-lab,bijux_proteomics_lab/lifecycle.py,strenum
AssayLifecycleState,bijux-proteomics-lab,bijux_proteomics_lab/lifecycle.py,jsonmodel
AssayObservation,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AssayObservationRecord,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
AssayOutcome,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
AssayPlanKind,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,strenum
AssayPortfolioBalanceReport,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AssayProgressionModel,bijux-proteomics-core,bijux_proteomics/lab/planning.py,jsonmodel
AssayProgressionState,bijux-proteomics-core,bijux_proteomics/lab/planning.py,strenum
AssayProgressionTransition,bijux-proteomics-core,bijux_proteomics/lab/planning.py,jsonmodel
AssayReadinessRow,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
AssayRequirement,bijux-proteomics-core,bijux_proteomics/domain/assays.py,basemodel
AssayRerunAction,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
AssayResultState,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,strenum
AssayRiskAssessment,bijux-proteomics-lab,bijux_proteomics_lab/risk.py,jsonmodel
AssayRiskCode,bijux-proteomics-lab,bijux_proteomics_lab/risk.py,strenum
AssayRiskFinding,bijux-proteomics-lab,bijux_proteomics_lab/risk.py,jsonmodel
AssayRiskSeverity,bijux-proteomics-lab,bijux_proteomics_lab/risk.py,strenum
AssessmentMetricCoverageReport,bijux-proteomics-intelligence,bijux_proteomics_intelligence/evaluators.py,jsonmodel
BatchClaimBeliefUpdate,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
BatchEffectAdvisoryReport,bijux-proteomics-core,bijux_proteomics/quantification/__init__.py,jsonmodel
BatchEffectBatchEntry,bijux-proteomics-core,bijux_proteomics/quantification/__init__.py,jsonmodel
BatchEvidencePromotionReport,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
BatchFailureTriageReport,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
BatchOutcomeAssessment,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
BatchPromotionPolicy,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
BatchRandomizationPlan,bijux-proteomics-lab,bijux_proteomics_lab/design.py,jsonmodel
BatchReadinessMatrix,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
BatchRerunPlan,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
BenchmarkCorpusClass,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,strenum
BenchmarkCorpusDescriptor,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
BenchmarkManifest,bijux-proteomics-knowledge,bijux_proteomics_knowledge/references/benchmarks.py,jsonmodel
BenchmarkMetricEntry,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
BenchmarkOutputBundle,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
BenchmarkReviewArtifact,bijux-proteomics-intelligence,bijux_proteomics_intelligence/benchmark_reviews.py,jsonmodel
BenchmarkReviewClaim,bijux-proteomics-intelligence,bijux_proteomics_intelligence/benchmark_reviews.py,jsonmodel
BijuxCoreIntegrationContractInput,bijux-proteomics-core,bijux_proteomics/adoption/__init__.py,jsonmodel
BijuxCoreIntegrationContractReport,bijux-proteomics-core,bijux_proteomics/adoption/__init__.py,jsonmodel
BiologicalTheme,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,jsonmodel
BiologicalThemeExtraction,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,jsonmodel
BundleFreshnessReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
BundleIntegrityIssue,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
BundleTrustReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
CacheDecisionExplanationEntry,bijux-proteomics-core,bijux_proteomics/workflow/reproducibility.py,jsonmodel
CacheDecisionExplanationReport,bijux-proteomics-core,bijux_proteomics/workflow/reproducibility.py,jsonmodel
CacheDecisionOutcome,bijux-proteomics-core,bijux_proteomics/workflow/reproducibility.py,strenum
CalibrationPlotBin,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
CalibrationPlotData,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
Candidate,bijux-proteomics-intelligence,bijux_proteomics_intelligence/domain/candidates/schema.py,basemodel
CandidateAssayAgendaItem,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateAssessment,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CandidateComparisonInput,bijux-proteomics-core,bijux_proteomics/intelligence/__init__.py,jsonmodel
CandidateComparisonPacket,bijux-proteomics-core,bijux_proteomics/intelligence/__init__.py,jsonmodel
CandidateDecision,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateDecisionDisposition,bijux-proteomics-knowledge,bijux_proteomics_knowledge/review.py,strenum
CandidateDecisionGraphExplanation,bijux-proteomics-knowledge,bijux_proteomics_knowledge/review.py,jsonmodel
CandidateDecisionGraphQuery,bijux-proteomics-knowledge,bijux_proteomics_knowledge/review.py,jsonmodel
CandidateExplainabilitySummary,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CandidateFollowUpSignal,bijux-proteomics-lab,bijux_proteomics_lab/lifecycle.py,jsonmodel
CandidateHandoffValidation,bijux-proteomics-lab,bijux_proteomics_lab/lifecycle.py,jsonmodel
CandidateLabAdvancementDecision,bijux-proteomics-lab,bijux_proteomics_lab/lifecycle.py,jsonmodel
CandidateLabAdvancementDisposition,bijux-proteomics-lab,bijux_proteomics_lab/lifecycle.py,strenum
CandidateLifecycleEvent,bijux-proteomics-core,bijux_proteomics/review/__init__.py,jsonmodel
CandidateLifecycleReplayEntry,bijux-proteomics-core,bijux_proteomics/review/__init__.py,jsonmodel
CandidateLifecycleReplayReport,bijux-proteomics-core,bijux_proteomics/review/__init__.py,jsonmodel
CandidateLifecycleSummary,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateLike,bijux-proteomics-core,bijux_proteomics/execution/contracts.py,protocol
CandidatePortfolio,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidatePriorityEntry,bijux-proteomics-core,bijux_proteomics/intelligence/__init__.py,jsonmodel
CandidatePriorityReport,bijux-proteomics-core,bijux_proteomics/intelligence/__init__.py,jsonmodel
CandidatePrioritySignal,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
CandidateProposal,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateRanking,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CandidateRankingProvenanceReport,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CandidateRankingSensitivityReport,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CandidateRejection,bijux-proteomics-intelligence,bijux_proteomics_intelligence/outcomes.py,jsonmodel
CandidateReviewMovement,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateReviewMovementReport,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateRiskProfile,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateScientificProfile,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateScoreBreakdown,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CandidateScreeningResult,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateStatus,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,strenum
CandidateStructure,bijux-proteomics-intelligence,bijux_proteomics_intelligence/domain/candidates/schema.py,basemodel
CandidateTransition,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CandidateUpdateToolResultLike,bijux-proteomics-intelligence,bijux_proteomics_intelligence/domain/candidates/updates.py,protocol
CandidateVariantContext,bijux-proteomics-intelligence,bijux_proteomics_intelligence/candidates.py,jsonmodel
CarryoverRiskAdvisory,bijux-proteomics-lab,bijux_proteomics_lab/design.py,jsonmodel
CarryoverRiskFlag,bijux-proteomics-lab,bijux_proteomics_lab/design.py,jsonmodel
CarryoverRiskLevel,bijux-proteomics-lab,bijux_proteomics_lab/design.py,strenum
CautiousAnomalyInterpretationPath,bijux-proteomics-intelligence,bijux_proteomics_intelligence/decision_paths.py,jsonmodel
ChromatogramQcIngestionReport,bijux-proteomics-core,bijux_proteomics/io/ingestion.py,jsonmodel
ChromatogramQcPoint,bijux-proteomics-core,bijux_proteomics/io/ingestion.py,jsonmodel
CitationRecord,bijux-proteomics-knowledge,bijux_proteomics_knowledge/references/citations.py,jsonmodel
CitationRegistryDocument,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
CitationRegistryEntry,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
CitationSourceKind,bijux-proteomics-knowledge,bijux_proteomics_knowledge/references/citations.py,strenum
ClaimBeliefDelta,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
ClaimBeliefUpdate,bijux-proteomics-knowledge,bijux_proteomics_knowledge/resolution.py,jsonmodel
ClaimConsistencyReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
ClaimContradictionMatrix,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
ClaimEvidenceLinkIssue,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
ClaimEvidenceState,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,strenum
ClaimFalsifiabilityReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
ClaimPolarity,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,strenum
ClaimQuery,bijux-proteomics-knowledge,bijux_proteomics_knowledge/queries.py,jsonmodel
ClaimResolutionRecord,bijux-proteomics-knowledge,bijux_proteomics_knowledge/queries.py,jsonmodel
ClaimResolutionState,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,strenum
ClaimStatus,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,strenum
ClaimStrengthUpdate,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
ClaimTrustGapReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
ClaimType,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,strenum
ClaimValidationIssue,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
CliResult,bijux-proteomics-runtime,bijux_proteomics_runtime/interfaces/cli.py,basemodel
CliWorkflowCommandEntry,bijux-proteomics-core,bijux_proteomics/interfaces/api.py,jsonmodel
ClosedLoopPlan,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
CollaborationSurfaceRedactionInput,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
CollaborationSurfaceRedactionReport,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
CollaboratorChallengeEntry,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
CollaboratorChallengeInput,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
CollaboratorChallengeWorkflowReport,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
CombinedEvidenceEntry,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
CombinedEvidenceQuantSupport,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
CombinedEvidenceReport,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
ComparativeCandidateReviewPacket,bijux-proteomics-intelligence,bijux_proteomics_intelligence/evaluators.py,jsonmodel
CompareRequest,bijux-proteomics-runtime,bijux_proteomics_runtime/api/v1/schema.py,basemodel
CompareResponse,bijux-proteomics-runtime,bijux_proteomics_runtime/api/v1/schema.py,basemodel
ComplexMembership,bijux-proteomics-core,bijux_proteomics/domain/targets.py,basemodel
ConfidenceAssignment,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
ConfidenceCalibrationEntry,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
ConfidenceCalibrationLevel,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,strenum
ConfidenceCalibrationReport,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
ConfidenceItem,bijux-proteomics-runtime,bijux_proteomics_runtime/state/schemas.py,basemodel
ConfidenceLabel,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,strenum
ConfidenceResultFamily,bijux-proteomics-core,bijux_proteomics/identification/confidence.py,strenum
ConfidenceThresholdBundleEntry,bijux-proteomics-core,bijux_proteomics/identification/confidence.py,jsonmodel
ConfidenceThresholdSensitivityBundle,bijux-proteomics-core,bijux_proteomics/identification/confidence.py,jsonmodel
ConfidenceThresholdSensitivityEntry,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
ConfidenceThresholdSensitivityReport,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
ConfidenceVector,bijux-proteomics-intelligence,bijux_proteomics_intelligence/domain/metrics/quality.py,basemodel
ConflictAssayPolicy,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
ConflictCluster,bijux-proteomics-knowledge,bijux_proteomics_knowledge/resolution.py,jsonmodel
ConflictPolicy,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
ConflictResolution,bijux-proteomics-knowledge,bijux_proteomics_knowledge/resolution.py,jsonmodel
ConflictResolutionPlan,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
ConstraintCategory,bijux-proteomics-core,bijux_proteomics/domain/constraints.py,strenum
ConstraintRiskReport,bijux-proteomics-core,bijux_proteomics/domain/constraints.py,basemodel
ContainerBuildDefinition,bijux-proteomics-core,bijux_proteomics/execution/providers.py,jsonmodel
ContainerEnvironmentCapture,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/execution_surfaces.py,jsonmodel
ContainerMount,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/execution_surfaces.py,jsonmodel
ContainerNetworkMode,bijux-proteomics-core,bijux_proteomics/execution/providers.py,strenum
ContainerRunBundle,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/execution_surfaces.py,jsonmodel
ContainerSmokeExecutionReport,bijux-proteomics-core,bijux_proteomics/execution/providers.py,jsonmodel
ContainerizedStepSpec,bijux-proteomics-core,bijux_proteomics/workflow/runtime.py,jsonmodel
ContaminantArtifactFinding,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,jsonmodel
ContaminantArtifactIntelligence,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,jsonmodel
ContextCompatibilityReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
ContextScoringProfile,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
ContradictionAwareLabRecommendation,bijux-proteomics-core,bijux_proteomics/intelligence/__init__.py,jsonmodel
ContradictionAwareLabRecommendationReport,bijux-proteomics-core,bijux_proteomics/intelligence/__init__.py,jsonmodel
ContradictionMiniStudyBundle,bijux-proteomics-core,bijux_proteomics/corpus/__init__.py,jsonmodel
ContradictionMiniStudyEntry,bijux-proteomics-core,bijux_proteomics/corpus/__init__.py,jsonmodel
ContradictionObservation,bijux-proteomics-core,bijux_proteomics/review/__init__.py,jsonmodel
ContradictionTaxonomyEntry,bijux-proteomics-core,bijux_proteomics/review/__init__.py,jsonmodel
ContradictionTaxonomyReport,bijux-proteomics-core,bijux_proteomics/review/__init__.py,jsonmodel
ContradictoryInterpretationCase,bijux-proteomics-knowledge,bijux_proteomics_knowledge/resolution.py,jsonmodel
ContradictoryInterpretationComparison,bijux-proteomics-knowledge,bijux_proteomics_knowledge/resolution.py,jsonmodel
ContradictoryInterpretationOutcome,bijux-proteomics-knowledge,bijux_proteomics_knowledge/resolution.py,jsonmodel
CoordinatorAgentInput,bijux-proteomics-runtime,bijux_proteomics_runtime/agents/schemas.py,basemodel
CoordinatorAgentOutput,bijux-proteomics-runtime,bijux_proteomics_runtime/agents/schemas.py,basemodel
CoreResultRuntimeBinding,bijux-proteomics-core,bijux_proteomics/workflow/runtime.py,jsonmodel
CorpusAssetEntry,bijux-proteomics-core,bijux_proteomics/corpus/__init__.py,jsonmodel
CorpusLicenseStatus,bijux-proteomics-core,bijux_proteomics/corpus/__init__.py,strenum
CorpusManifest,bijux-proteomics-knowledge,bijux_proteomics_knowledge/references/corpora.py,jsonmodel
CriterionSatisfactionItem,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CriterionSatisfactionVector,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
CriticAgentInput,bijux-proteomics-runtime,bijux_proteomics_runtime/agents/schemas.py,basemodel
CriticAgentOutput,bijux-proteomics-runtime,bijux_proteomics_runtime/agents/schemas.py,basemodel
CustomDecoyValidationReport,bijux-proteomics-core,bijux_proteomics/identification/confidence.py,jsonmodel
CycleWorkloadForecast,bijux-proteomics-lab,bijux_proteomics_lab/repositories.py,jsonmodel
DatabasePeptideUniqueness,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,strenum
DatabasePeptideUniquenessEntry,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
DatasetIdentity,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/context/contracts.py,jsonmodel
DdaImportWorkflowRunReport,bijux-proteomics-core,bijux_proteomics/workflow/runs.py,jsonmodel
DdaMiniStudyBundle,bijux-proteomics-core,bijux_proteomics/corpus/__init__.py,jsonmodel
DdaSearchHitInput,bijux-proteomics-core,bijux_proteomics/workflow/runs.py,jsonmodel
Decision,bijux-proteomics-runtime,bijux_proteomics_runtime/core/decisions.py,basemodel
DecisionEscalationFlags,bijux-proteomics-intelligence,bijux_proteomics_intelligence/evaluators.py,jsonmodel
DecisionExplanation,bijux-proteomics-runtime,bijux_proteomics_runtime/core/decisions.py,basemodel
DecisionGateProfile,bijux-proteomics-knowledge,bijux_proteomics_knowledge/review.py,jsonmodel
DecisionLineage,bijux-proteomics-knowledge,bijux_proteomics_knowledge/claims.py,jsonmodel
DecisionOwnerRole,bijux-proteomics-core,bijux_proteomics/domain/operating_model.py,strenum
DecisionPayload,bijux-proteomics-runtime,bijux_proteomics_runtime/memory/schemas.py,basemodel
DecisionQuery,bijux-proteomics-core,bijux_proteomics/domain/repositories.py,jsonmodel
DecisionReadiness,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
DecisionRelevantContradiction,bijux-proteomics-core,bijux_proteomics/intelligence/__init__.py,jsonmodel
DecisionTagNormalizationReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
DecisionTracePath,bijux-proteomics-knowledge,bijux_proteomics_knowledge/graph.py,jsonmodel
DecoyGenerationManifest,bijux-proteomics-core,bijux_proteomics/sequences/core.py,jsonmodel
DecoyGenerationMode,bijux-proteomics-core,bijux_proteomics/sequences/core.py,strenum
DecoyStrategyValidationIssue,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
DecoyStrategyValidationReport,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
DenseQuantMatrixBenchmarkInput,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
DenseQuantMatrixBenchmarkReport,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
DependencyCriticalPath,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
DependencyCycleReport,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
DependencyIntegrityReport,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
DependencyUpdateRecord,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
DependencyUpdateReplayAction,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
DependencyUpdateReplayReport,bijux-proteomics-core,bijux_proteomics/benchmarks/__init__.py,jsonmodel
DerivedArtifactRecord,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/imports.py,jsonmodel
DesignBrief,bijux-proteomics-intelligence,bijux_proteomics_intelligence/briefs.py,jsonmodel
DesignContrastRecommendation,bijux-proteomics-lab,bijux_proteomics_lab/design.py,jsonmodel
